ball,variable,n_ttwas,mean,std,min,median,max
24,pct_routine,1,10.92,,10.92,10.92,10.92
24,pct_no_quals,1,22.65,,22.65,22.65,22.65
24,pct_level4_plus,1,26.83,,26.83,26.83,26.83
24,pct_self_employed,1,26.19,,26.19,26.19,26.19
24,pct_econ_inactive,1,35.08,,35.08,35.08,35.08
24,pop_density,1,1.96,,1.96,1.96,1.96
24,log_pop_density,1,1.09,,1.09,1.09,1.09
24,urban_rural_score,1,4.02,,4.02,4.02,4.02
24,pct_urban,1,36.0,,36.0,36.0,36.0
24,median_house_price,1,212000.0,,212000.0,212000.0,212000.0
25,pct_owned,1,65.22,,65.22,65.22,65.22
25,pct_private_rented,1,16.68,,16.68,16.68,16.68
25,pct_higher_managerial,1,9.89,,9.89,9.89,9.89
25,pct_routine,1,12.96,,12.96,12.96,12.96
25,pct_no_quals,1,22.91,,22.91,22.91,22.91
25,pct_level4_plus,1,23.96,,23.96,23.96,23.96
25,pct_self_employed,1,12.81,,12.81,12.81,12.81
25,pct_econ_inactive,1,27.91,,27.91,27.91,27.91
25,pop_density,1,2.15,,2.15,2.15,2.15
25,log_pop_density,1,1.15,,1.15,1.15,1.15
25,urban_rural_score,1,3.44,,3.44,3.44,3.44
25,pct_urban,1,70.22,,70.22,70.22,70.22
25,median_house_price,1,148000.0,,148000.0,148000.0,148000.0
26,pct_owned,1,69.27,,69.27,69.27,69.27
26,pct_private_rented,1,15.87,,15.87,15.87,15.87
26,pct_higher_managerial,1,16.8,,16.8,16.8,16.8
26,pct_routine,1,7.24,,7.24,7.24,7.24
26,pct_no_quals,1,15.69,,15.69,15.69,15.69
26,pct_level4_plus,1,35.91,,35.91,35.91,35.91
26,pct_self_employed,1,13.76,,13.76,13.76,13.76
26,pct_econ_inactive,1,24.97,,24.97,24.97,24.97
26,pop_density,1,7.0,,7.0,7.0,7.0
26,log_pop_density,1,2.08,,2.08,2.08,2.08
26,urban_rural_score,1,3.2,,3.2,3.2,3.2
26,pct_urban,1,86.38,,86.38,86.38,86.38
26,median_house_price,1,247500.0,,247500.0,247500.0,247500.0
27,pct_owned,1,61.79,,61.79,61.79,61.79
27,pct_private_rented,1,19.67,,19.67,19.67,19.67
27,pct_higher_managerial,1,13.46,,13.46,13.46,13.46
27,pct_routine,1,7.86,,7.86,7.86,7.86
27,pct_no_quals,1,17.17,,17.17,17.17,17.17
27,pct_level4_plus,1,34.54,,34.54,34.54,34.54
27,pct_self_employed,1,15.11,,15.11,15.11,15.11
27,pct_econ_inactive,1,27.37,,27.37,27.37,27.37
27,pop_density,1,22.76,,22.76,22.76,22.76
27,log_pop_density,1,3.17,,3.17,3.17,3.17
27,urban_rural_score,1,1.44,,1.44,1.44,1.44
27,pct_urban,1,97.5,,97.5,97.5,97.5
27,median_house_price,1,262500.0,,262500.0,262500.0,262500.0
28,pct_owned,6,68.24,3.56,64.44,68.01,73.67
28,pct_private_rented,6,14.77,1.51,12.29,14.84,16.66
28,pct_higher_managerial,6,11.95,3.11,8.43,11.14,16.12
28,pct_routine,6,10.54,2.33,8.29,9.77,14.89
28,pct_no_quals,6,20.74,3.29,16.33,20.99,23.94
28,pct_level4_plus,6,28.36,4.47,22.64,27.82,33.72
28,pct_self_employed,6,14.37,1.88,12.5,13.98,17.72
28,pct_econ_inactive,6,29.13,3.45,23.73,29.73,33.11
28,pop_density,6,2.98,1.12,1.71,2.83,4.88
28,log_pop_density,6,1.35,0.27,1.0,1.34,1.77
28,urban_rural_score,6,3.45,0.14,3.24,3.45,3.65
28,pct_urban,6,68.76,9.11,59.09,67.03,83.08
28,median_house_price,6,195895.83,43406.39,126000.0,210375.0,233750.0
29,pct_owned,1,70.13,,70.13,70.13,70.13
29,pct_private_rented,1,13.87,,13.87,13.87,13.87
29,pct_higher_managerial,1,14.68,,14.68,14.68,14.68
29,pct_routine,1,7.32,,7.32,7.32,7.32
29,pct_no_quals,1,17.24,,17.24,17.24,17.24
29,pct_level4_plus,1,34.14,,34.14,34.14,34.14
29,pct_self_employed,1,19.79,,19.79,19.79,19.79
29,pct_econ_inactive,1,27.88,,27.88,27.88,27.88
29,pop_density,1,2.66,,2.66,2.66,2.66
29,log_pop_density,1,1.3,,1.3,1.3,1.3
29,urban_rural_score,1,3.69,,3.69,3.69,3.69
29,pct_urban,1,54.5,,54.5,54.5,54.5
29,median_house_price,1,281750.0,,281750.0,281750.0,281750.0
